Time Detect LP,Time Detect Face,Total
0.089,2.468,2.556
0.167,2.51,2.677
0.089,2.537,2.626
0.084,2.54,2.624
0.256,2.498,2.754
0.168,2.519,2.686
0.09,2.521,2.611
0.083,2.494,2.577
0.083,2.46,2.543
0.084,2.526,2.61
0.169,2.529,2.698
0.088,2.496,2.584
0.083,2.491,2.574
0.253,2.499,2.752
0.258,2.505,2.763
0.508,2.536,3.044
0.748,2.541,3.289
0.077,2.467,2.544
0.743,2.493,3.236
0.166,2.48,2.646
0.078,2.455,2.533
1.003,2.522,3.524
0.08,2.418,2.498
0.418,2.461,2.879
0.745,2.468,3.213
0.503,2.424,2.927
2.464,2.477,4.941
0.167,2.46,2.627
0.079,2.445,2.523
0.424,2.461,2.885
1.309,2.51,3.819
0.604,2.495,3.099
0.425,2.472,2.896
0.256,2.465,2.721
0.771,2.477,3.249
1.034,2.478,3.513
1.373,2.468,3.842
0.348,2.516,2.864
0.442,2.498,2.939
0.356,2.511,2.867
0.087,2.467,2.555
0.857,2.449,3.306
0.089,2.364,2.453
0.095,2.401,2.495
0.087,2.419,2.506
0.262,2.405,2.667
0.088,2.463,2.551
0.261,2.451,2.712
0.34,2.462,2.803
0.088,2.433,2.521
0.175,2.414,2.588
0.169,2.468,2.637
0.443,2.429,2.872
0.431,2.405,2.836
0.088,2.447,2.535
0.175,2.386,2.561
0.175,2.419,2.594
0.436,2.392,2.828
0.779,2.438,3.217
0.267,2.401,2.668
0.088,2.402,2.49
0.091,2.398,2.489
0.175,3.198,3.372
0.118,3.435,3.553
0.192,2.762,2.953
0.271,2.478,2.749
0.089,2.501,2.59
0.091,2.467,2.559
0.087,2.405,2.492
0.545,2.385,2.93
0.256,2.392,2.648
0.18,2.374,2.554
0.089,2.419,2.508
0.177,2.387,2.564
0.093,2.404,2.497
0.262,2.428,2.69
0.268,2.428,2.695
0.089,2.445,2.533
0.175,2.411,2.586
0.261,2.403,2.664
0.088,2.419,2.506
0.27,2.439,2.708
0.173,2.452,2.626
0.09,2.426,2.515
0.089,2.415,2.503
0.089,2.421,2.51
0.096,2.446,2.543
0.09,2.442,2.531
0.262,2.424,2.686
0.093,2.399,2.492
0.173,2.411,2.584
0.09,2.422,2.511
0.269,2.476,2.745
0.087,2.425,2.512
0.345,2.353,2.698
0.261,2.4,2.661
0.089,2.371,2.46
0.096,2.402,2.498
0.097,2.422,2.519
0.09,2.384,2.473
0.263,2.363,2.626
0.093,2.431,2.523
0.611,2.404,3.015
0.093,2.401,2.494
0.281,2.413,2.694
0.09,2.414,2.503
0.187,2.391,2.578
0.094,2.39,2.485
0.359,2.411,2.77
0.082,2.376,2.458
0.175,2.416,2.591
0.175,2.388,2.563
0.266,2.411,2.677
0.267,2.377,2.644
0.366,2.423,2.789
0.431,2.39,2.821
0.096,2.364,2.459
0.362,2.368,2.729
0.529,2.413,2.942
0.091,2.383,2.475
0.091,2.385,2.476
0.348,2.378,2.726
0.264,2.377,2.641
0.089,2.35,2.439
0.083,2.367,2.45
0.089,2.369,2.458
0.536,2.383,2.919
0.348,2.404,2.753
0.089,2.396,2.485
0.351,2.358,2.709
0.178,2.353,2.531
0.267,2.357,2.623
0.094,2.384,2.478
